8,
Team No,Team Name,Division,
1,Park People,division 1,
2,Springs Chickens,division 1,
3,Golden Demons,division 1,
4,Commerce City Platinum,division 1,
5,Malley Masters,division 1,
6,Commerce City Mintonettes,division 1,
7,Greeley Flash,division 2,
8,Boulder County Blitz,division 2,
9,Commerce City Busted Blockers,division 2,
10,Lafayette Crush,division 2,
11,Commerce City Aged to Perfection,division 2,
12,Westminster Diamond,division 2,
13,Commerce City Fireproof Guys,division 3,
14,Lakewood Charlies n Angels,division 3,
15,Boulder Blasters,division 3,
16,Greeley Moles,division 3,
17,South Suburban Stars,division 3,
18,Commerce City Frans Team,division 3,
19,EverGeezers,division 4,
20,Commerce City Rays Team,division 4,
21,Springs Bones In Motion,division 4,
22,Broomfield Blazers,division 4,
23,Golden Spikers,division 4,
24,Commerce City Saints,division 4,
25,Lakewood Slammers,division 5,
26,Greeley Gems,division 5,
27,South Suburban Vollyers,division 5,
28,Longmont Bumpers,division 5,
29,Broomfield Dairy Queen,division 5,
30,Lakewood Mile Highs,division 5,
31,Thornton Lightning,division 6,
32,Westminster Mica,division 6,
33,Springs Amazing Grays,division 6,
34,Evergreen Thunder Ducks,division 6,
35,Lakewood Energizers,division 6,
36,Loveland Lightning,division 6,
37,Evergreen Diggers,division 7,
38,Erie Netters,division 7,
39,Lafayette Safe Sets,division 7,
40,Longmont Brewers,division 7,
41,Lakewood Attackers,division 7,
42,Longmont Senior Moments,division 7,
43,Greeley Mustangs,division 8,
44,Lakewood Achievers,division 8,
45,Westminster Silver,division 8,
46,Golden Setters,division 8,
47,Evergreen Elk Herders,division 8,
48,Lakewood Senior Setters,division 8,
49,Erie Tigers,division 8,
50,Lakewood Top Gun 1,division 8,
51,Loveland Thunder,division 8,
