8,
Team No,Team Name,Division,
1,Park People,division 1,
2,Springs Chickens,division 1,
3,Golden Demons,division 1,
4,Boulder County Blitz,division 1,
5,Commerce City Platinum,division 1,
6,Commerce City Mintonettes,division 1,
7,Greeley RSVP,division 2,
8,Commerce City Beach Ballers,division 2,
9,Lafayette Crush,division 2,
10,Commerce City Vintage,division 2,
11,Lakewood Charlies n Angels,division 2,
12,Westminster Diamond,division 2,
13,Commerce City Fireproof Guys,division 3,
14,Boulder Blasters,division 3,
15,Greeley Gees,division 3,
16,South Suburban Stars,division 3,
17,Commerce City Rays Team,division 3,
18,Commerce City Frans Team,division 3,
19,Evergreen Over.Net,division 4,
20,Springs Bones In Motion,division 4,
21,Broomfield Blazers,division 4,
22,Golden Spikers,division 4,
23,Greeley C.O.G.,division 4,
24,Commerce City Saints,division 4,
25,Lakewood Slammers,division 5,
26,South Suburban Volleyrs,division 5,
27,Longmont Bumpers,division 5,
28,Broomfield Dairy Queen,division 5,
29,Thornton Lightning,division 5,
30,Lakewood Mile Highs,division 5,
31,Westminster Gold,division 6,
32,Evergreen Diggers,division 6,
33,Westminster Silver,division 6,
34,Greeley Crush,division 6,
35,Lakewood Wanderers,division 6,
36,Loveland Lightning,division 6,
37,Westminster Bronze,division 7,
38,Erie Netters,division 7,
39,Lafayette Safe Sets,division 7,
40,Longmont Brewers,division 7,
41,Lakewood Attackers,division 7,
42,Longmont Senior Moments,division 7,
43,Greeley Mustangs,division 8,
44,Golden Setters,division 8,
45,Evergreen Elk Herders,division 8,
46,Lakewood Senior Setters,division 8,
47,Erie Tigers,division 8,
48,Lakewood Top Gun 1,division 8,
49,New Colorado Springs Team,division 8,
50,New Whitlock Team,division 8,
51,Malley Masters,division 8,
